indicator,type,"last_seen","first_seen",sensor,"ut_domain"
"http://3.93.174.87/maroc.sh",URL,"1668143031.016358","1668143031.016358",1,"3.93.174.87"
"http://31.44.185.235/x86",URL,"1655324674.402573","1655317077.526665",2,"31.44.185.235"
"http://36.134.4.35/bot.pl",URL,"1648556179.023165","1648556179.023165",1,"36.134.4.35"
"http://37.0.8.132/shr",URL,"1657661085.472856","1657500758.334261",3,"37.0.8.132"
"http://37.187.87.141/catvsdog.sh",URL,"1659240183.159469","1658959107.167255",3,"37.187.87.141"
"http://37.221.92.204/shitonmepls.sh",URL,"1687766461.399029","1687766461.399029",1,"37.221.92.204"
"http://37.221.92.204/tsuki.x86",URL,"1687766461.399029","1687766461.399029",1,"37.221.92.204"
"http://3732g6dg.ws/binInfect.sh",URL,"1665158808.846792","1664730019.796944",1,"3732g6dg.ws"
"http://3732g6dg.ws/haxor.sh",URL,"1665158808.846792","1664871773.539293",1,"3732g6dg.ws"
"http://39.165.53.17:8088/iposzz/dred",URL,"1687827820.524356","1663006488.155451",3,"39.165.53.17"
"http://39.165.53.17:8088/iposzz/poc.jpg",URL,"1663633315.225940","1663633315.225940",1,"39.165.53.17"
"http://45.125.66.144/x86_64",URL,"1678015046.390992","1677984275.018619",1,"45.125.66.144"
"http://45.140.188.111/doge.sh",URL,"1664407612.234559","1664091208.354305",1,"45.140.188.111"
"http://45.145.167.32/catvsdog.sh",URL,"1658951901.841755","1658948162.810212",2,"45.145.167.32"
"http://45.63.77.245:5566/Secure.sh",URL,"1611689913.506610","1611689913.506610",1,"45.63.77.245"
"http://45.63.77.245:5566/Toolkit.sh",URL,"1609301667.646125","1609299841.946903",1,"45.63.77.245"
"http://45.80.175.148/k.php?a=x86_64,1C465T01D01GYP89H",URL,"1662291588.112545","1662291588.112545",1,"45.80.175.148"
"http://45.80.175.148/k.php?a=x86_64,74QC4PS7X56PNY1MH",URL,"1663464559.779105","1663464559.779105",1,"45.80.175.148"
"http://45.95.146.26/pedalcheta/cutie.x86_64",URL,"1684431246.136698","1682309638.720886",3,"45.95.146.26"
"http://45.95.169.205/doge.sh",URL,"1664146902.870895","1664146891.248652",1,"45.95.169.205"
"http://45.95.55.214/scooter/zzxstp",URL,"1664856399.928244","1664856399.928244",1,"45.95.55.214"
"http://46.19.137.90/sh",URL,"1687912455.533391","1687912116.319653",1,"46.19.137.90"
"http://46.19.141.122/bins/x86",URL,"1665702842.480881","1664490611.516557",2,"46.19.141.122"
"http://46.19.141.122/root.sh",URL,"1664777012.932205","1664777012.932205",1,"46.19.141.122"
"http://46.23.109.212/doge.sh",URL,"1663235192.657967","1663199577.591402",1,"46.23.109.212"
"http://46.23.109.212/x86",URL,"1664555890.452226","1664406936.032830",2,"46.23.109.212"
"http://46.23.109.47/shr",URL,"1666854193.962674","1666289939.635631",1,"46.23.109.47"
"http://46.23.109.47/uwu",URL,"1656635011.649624","1655232943.738793",3,"46.23.109.47"
"http://46.249.32.102/sh",URL,"1659893470.957882","1659893470.957882",1,"46.249.32.102"
"http://46.252.25.25/ok.sh",URL,"1675050749.904990","1675047624.776383",1,"46.252.25.25"
"http://5.181.80.115/ok.sh",URL,"1672406845.887536","1672406845.887536",1,"5.181.80.115"
"http://5.196.21.47/bos/dota.gif",URL,"1642553334.331008","1642553334.331008",1,"5.196.21.47"
"http://5.196.21.47/dota.gif",URL,"1662407296.114147","1655001196.333104",2,"5.196.21.47"
"http://5.196.21.47/pateu.gif",URL,"1662423703.320086","1656599722.936439",2,"5.196.21.47"
"http://5.255.100.78/bins/x86",URL,"1658820559.650202","1658036931.601724",2,"5.255.100.78"
"http://50.115.165.101/bins/Astra.x86",URL,"1686508661.585027","1685870096.395588",1,"50.115.165.101"
"http://51.210.71.115/cnrig",URL,"1656832283.555859","1656800099.612159",2,"51.210.71.115"
"http://51.210.71.115/ok.sh",URL,"1656880488.130762","1656800099.612159",2,"51.210.71.115"
"http://51.89.149.177/.startup",URL,"1617380841.513518","1617380838.943630",1,"51.89.149.177"
"http://51.91.78.140/apacheupdate.tgz",URL,"1520010412.343294","1520010412.343294",1,"51.91.78.140"
"http://58.135.80.99/a/div",URL,"1676770541.090200","1609725858.780664",3,"58.135.80.99"
"http://58.135.80.99/a/miner.sh",URL,"1676770541.090200","1609725858.780664",3,"58.135.80.99"
"http://62.197.136.157/x86_64",URL,"1654980071.719080","1654980071.719080",1,"62.197.136.157"
"http://64.225.3.94/bins.sh",URL,"1609887692.550170","1609887692.550170",1,"64.225.3.94"
"http://65.109.58.15:8000/x86_64",URL,"1679252938.680673","1679252938.680673",1,"65.109.58.15"
"http://66.70.216.155/x/1sh",URL,"1670133496.530926","1670133495.207354",1,"66.70.216.155"
"http://66.70.216.155/x/2sh",URL,"1670133499.366623","1670133497.568659",1,"66.70.216.155"
